line,page,date,site,trap,day,trap_id,species,subspecies,sex,A,B,carapace,car_max,plastron,depth,mass,leeches,recap,mark_1,mark_final,picture,blood,smear,comments
214,8,22-06-2018,E,2,,28,CPIC,picta,M,NA,NA,136,137,126,43,290,6,R,344,344,N,N,N,
215,8,22-06-2018,E,2,,28,CPIC,marginata,F,NA,NA,145,145,137,57,415,7,N,4000,4000,N,N,N,
216,8,22-06-2018,E,2,,28,CPIC,marginata,F,NA,NA,168,168,154,62,580,2,N,3000,3000,N,N,N,small amount of tail damage
217,8,22-06-2018,E,2,,28,CPIC,picta,M,NA,NA,143,145,128,44,320,0,N,6000,6000,N,N,N,dark plastron
218,8,26-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,115,117,104,35,175,0,N,83,83,Y,N,N,
219,8,26-06-2018,F,7,,47,CPIC,picta,M,NA,NA,126,126,111,39,225,0,N,145,145,Y,Y,Y,damage to left back claw; divet in top vertebral scute (cranial); damage to most caudal left marginal scute
220,8,26-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,122,123,115,44,250,1,N,171,171,Y,Y,Y,
221,8,26-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,134,135,125,46,285,0,N,86,86,Y,N,N,
222,8,26-06-2018,F,7,,47,CPIC,picta,M,NA,NA,133,135,121,41,290,0,N,93,93,Y,Y,Y,dark mark on right abdominal scute
223,8,26-06-2018,F,7,,47,PRUB,NA,M,NA,NA,254,257,230,82,1770,0,N,70,70,Y,Y,Y,
224,8,26-06-2018,F,7,,47,PRUB,NA,M,NA,NA,245,250,220,83,1630,4,N,4,4,Y,Y,Y,
225,8,26-06-2018,F,7,,47,PRUB,NA,M,NA,NA,270,275,240,91,2150,4,N,2,2,Y,Y,Y,pattern diff than expected -- old male (dark red mottling on carapace and plastron - pic taken)
226,8,26-06-2018,F,6,,46,SODO,NA,M,NA,NA,128,128,87,46,260,12,N,3,3,Y,Y,Y,
227,8,26-06-2018,F,6,,46,CPIC,picta,M,NA,NA,112,112,106,39,190,5,N,95,95,Y,N,N,
228,8,26-06-2018,F,6,,46,CPIC,marginata,F,NA,NA,153,154,147,51,450,NA,N,96,96,Y,N,N,
229,8,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,131,131,121,44,265,0,N,116,116,Y,N,N,plastron blotch faint
230,8,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,132,135,121,41,250,1,N,126,126,Y,N,N,nuchal damage
231,8,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,135,136,122,42,250,0,N,131,131,Y,N,N,
232,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,118,118,108,39,195,0,N,132,132,Y,N,N,
233,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,106,106,98,36,145,0,N,143,143,Y,N,N,
234,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,125,126,117,44,250,2,N,151,151,Y,N,N,
235,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,125,127,117,47,270,0,N,152,152,Y,N,N,
236,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,132,133,121,43,280,3,N,154,154,Y,N,N,split in most rear marginal scute (looks like extra scute)
237,9,26-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,145,146,134,48,340,2,N,134,134,Y,N,N,
238,9,26-06-2018,F,6,,46,CPIC,picta,M,NA,NA,136,138,122,44,280,0,N,1135,1135,Y,N,N,square marks; marked same as other (other has triangle marks); need to add new mark 1000 (as of 7/2/18)
239,9,26-06-2018,F,5,,45,CSER,NA,F,82,42,228,234,176,101,2810,15,N,250,250,Y,Y,Y,
240,9,26-06-2018,F,5,,45,CSER,NA,F,80,49,222,235,164,96,2490,6,N,500,500,Y,N,N,
241,9,26-06-2018,F,5,,45,CSER,NA,F,96,62,266,277,207,124,4840,10,N,600,600,Y,N,N,
242,9,26-06-2018,F,5,,45,CSER,NA,M,120,106,383,392,270,169,12920,25,N,320,320,Y,N,N,
243,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,128,129,114,38,230,0,N,5000,5000,N,N,N,plastron blotch faint; caudal marginal scutes split (looks like 13 on each side); triangle marks
244,9,26-06-2018,F,5,,45,CPIC,marginata,F,NA,NA,158,160,148,50,420,4,N,1001,1001,Y,N,N,triangle marks; 13 marginals on each side
245,9,26-06-2018,F,5,,45,CPIC,NA,M,NA,NA,125,127,119,39,230,1,N,180,180,Y,N,N,triangle marks
246,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,127,128,122,44,240,0,N,181,181,Y,N,N,triangle marks
247,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,136,137,125,42,300,2,N,182,182,Y,N,N,triangle marks
248,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,131,131,119,43,260,1,N,184,184,Y,N,N,triangle marks
249,9,26-06-2018,F,5,,45,CPIC,picta,M,NA,NA,126,126,113,40,240,0,N,172,172,Y,N,N,triangle marks
250,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,128,131,121,44,250,0,N,174,174,Y,N,N,triangle marks
251,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,138,140,121,41,290,0,N,173,173,Y,N,N,damage to left front claw; triangle marks
252,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,141,143,131,48,330,0,N,175,175,Y,N,N,triangle marks
253,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,138,140,124,45,270,3,N,2002,2002,Y,N,N,13 marginal scutes on right side; triangle marks
254,9,26-06-2018,F,5,,45,CPIC,picta,M,NA,NA,137,138,126,46,280,4,N,176,176,Y,N,N,triangle marks
255,9,26-06-2018,F,5,,45,CPIC,picta,M,NA,NA,131,132,123,44,260,0,N,135,135,Y,N,N,triangle marks (marked same as other with square marks)
256,9,26-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,133,137,124,43,290,2,N,133,133,Y,N,N,triangle marks
257,9,26-06-2018,F,4,,44,CSER,NA,F,90,58,249,253,188,123,4210,10,N,330,330,NA,N,N,triangle marks
258,9,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,123,124,114,41,230,0,N,153,153,Y,N,N,triangle marks; trap number wrong in pic
259,9,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,117,117,106,38,200,0,N,156,156,NA,N,N,triangle marks; trap number wrong in pic - took out 1 trap
260,9,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,138,139,128,43,290,0,N,155,155,Y,N,N,plastron blotch faint; slight markings on 1 and 2; triangle marks; trap number wrong in pic
261,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,124,124,115,39,225,0,N,2004,2004,Y,N,N,triangle marks
262,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,131,131,125,41,275,0,N,2006,2006,Y,N,N,triangle marks
263,10,26-06-2018,F,4,,44,CPIC,picta,M,NA,NA,133,134,121,40,260,2,N,2005,2005,Y,N,N,triangle marks
264,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,151,152,138,44,340,0,N,4001,4001,Y,N,N,triangle marks
265,10,26-06-2018,F,4,,44,CPIC,marginata,U,NA,NA,85,85,77,30,80,0,N,2003,2003,Y,N,N,juvenile; long tail base; damage to top right of plastron; triangle marks
266,10,26-06-2018,F,4,,44,CPIC,picta,U,NA,NA,86,86,79,29,80,0,N,1002,1002,Y,N,N,juvenile; long tail base; triangle marks
267,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,110,110,101,36,160,0,N,4006,4006,Y,N,N,triangle marks
268,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,101,101,92,31,130,2,N,4002,4002,Y,N,N,triangle marks
269,10,26-06-2018,F,4,,44,PRUB,NA,M,NA,NA,278,280,252,91,2570,0,N,2000,2000,Y,N,N,triangle marks
270,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,137,139,131,39,300,1,N,1004,1004,Y,N,N,triangle marks
271,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,123,123,118,42,245,0,N,2010,2010,Y,N,N,triangle marks
272,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,123,126,117,40,240,0,N,2020,2020,Y,N,N,triangle marks
273,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,138,139,129,39,290,0,N,2040,2040,Y,N,N,plastron blotch very faint; triangle marks
274,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,131,134,120,42,260,0,N,2060,2060,Y,N,N,triangle marks
275,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,120,120,112,48,200,0,N,2030,2030,Y,N,N,damage to 40; triangle marks
276,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,135,136,128,46,285,2,N,2100,2100,Y,N,N,triangle marks
277,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,131,132,119,41,250,0,N,2025,2025,Y,N,N,triangle marks
278,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,133,133,121,45,265,0,N,2200,2200,Y,N,N,triangle marks
279,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,126,128,118,32,220,0,N,2401,2401,Y,N,N,"triangle marks; marked same as other (need to add mark 1 as of 7/2/18, other is female)"
280,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,132,132,121,41,240,1,N,2700,2700,Y,N,N,triangle marks
281,10,26-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,136,139,125,44,300,0,N,4100,4100,Y,N,N,triangle marks
282,10,26-06-2018,F,4,,44,CPIC,marginata,F,NA,NA,149,150,142,51,400,0,N,2400,2400,Y,N,N,small mark on 4000; triangle marks
283,10,26-06-2018,F,4,,44,CPIC,marginata,F,NA,NA,163,164,157,55,575,1,N,1400,1400,Y,N,N,triangle marks
284,10,26-06-2018,F,4,,44,PRUB,NA,M,NA,NA,177,178,160,57,690,0,N,12,12,Y,N,N,triangle marks
285,10,26-06-2018,F,4,,44,PRUB,NA,M,NA,NA,171,173,156,60,650,1,N,3,3,Y,N,N,triangle marks
286,10,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,141,143,131,42,340,0,N,3010,3010,N,N,N,triangle marks
287,10,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,130,130,118,44,245,0,N,3101,3101,N,N,N,triangle marks
288,10,26-06-2018,F,3,,43,CPIC,marginata,F,NA,NA,141,141,131,48,360,0,N,3100,3100,N,N,N,triangle marks
289,10,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,134,134,123,42,255,0,N,3002,3002,N,N,N,triangle marks
290,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,130,130,117,41,260,0,N,3200,3200,N,N,N,triangle marks
291,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,116,119,109,38,200,0,N,3004,3004,N,N,N,tail damage; triangle marks
292,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,128,129,119,48,260,3,N,3020,3020,N,N,N,triangle marks
293,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,120,122,113,41,190,2,N,3040,3040,N,N,N,triangle marks
294,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,130,133,122,41,260,0,N,3400,3400,N,N,N,mark 1000 squared; all rest triangle
295,11,26-06-2018,F,3,,43,CPIC,marginata,F,NA,NA,155,155,145,52,480,0,N,3700,3700,N,N,N,triangle marks
296,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,136,139,129,37,270,2,N,1700,1700,N,N,N,damage to nuchal scute; triangle marks
297,11,26-06-2018,F,3,,43,CPIC,picta,M,NA,NA,138,144,130,42,350,3,N,2102,2102,N,N,N,triangle marks
298,11,26-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,135,136,127,44,295,1,N,2101,2101,N,N,N,1 squared and 100; rest triangle
299,11,26-06-2018,F,3,,43,PRUB,NA,M,NA,NA,222,223,202,74,1270,4,N,14,14,N,N,N,triangle marks
300,11,26-06-2018,F,3,,43,CSER,NA,F,96,60,285,294,213,129,4950,NA,N,350,350,N,N,N,too dark to see leeches well at this point; triangle marks
301,11,26-06-2018,F,2,,42,CSER,NA,M,90,99,269,277,195,112,4910,NA,N,360,360,N,N,N,triangle marks
302,11,26-06-2018,F,2,,42,PRUB,NA,M,NA,NA,264,266,252,95,3450,NA,N,11,11,N,N,N,triangle marks
303,11,26-06-2018,F,2,,42,PRUB,NA,M,NA,NA,166,171,154,56,850,NA,N,21,21,N,N,N,mark 1 squared; rest triangle
304,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,131,133,122,45,290,NA,N,2202,2202,N,N,N,tail and both front claws damaged; triangle marks
305,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,131,132,121,43,280,NA,N,2204,2204,N,N,N,triangle marks
306,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,127,127,116,45,240,NA,N,5002,5002,N,N,N,13 marginals each side; triangle marks
307,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,125,126,112,44,260,NA,R,134,134,N,N,N,caught earlier in same samping day; claws not extremely long
308,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,144,145,134,45,350,NA,N,5040,5040,N,N,N,triangle marks
309,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,122,122,115,41,230,NA,N,520,520,N,N,N,or 5020? triangle marks
310,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,102,102,98,35,150,NA,N,5010,5010,N,N,N,13 marginal scutes on right side; triangle marks
311,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,129,129,125,46,310,NA,N,4400,4400,N,N,N,triangle marks
312,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,131,131,121,39,280,NA,N,5400,5400,N,N,N,plastron blotch faint; triangle marks
313,11,26-06-2018,F,2,,42,CPIC,marginata,F,NA,NA,131,131,124,39,310,NA,N,1103,1103,N,N,N,triangle marks
314,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,114,114,107,34,190,NA,N,1110,1110,N,N,N,triangle marks
315,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,114,114,108,36,180,NA,N,2220,2220,N,N,N,plastron blotch faint; triangle marks
316,11,26-06-2018,F,2,,42,CPIC,picta,M,NA,NA,131,137,124,43,310,NA,N,4440,4440,N,N,N,damage to nuchal scute; triangle marks
317,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,145,152,138,46,400,NA,N,2112,2112,N,N,N,damage to nuchal scute or just very deep; damage at 40; triangle marks
318,11,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,141,145,131,45,335,NA,N,4112,4112,N,N,N,triangle marks
319,12,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,130,131,116,41,260,NA,N,1401,1401,N,N,N,triangle marks
320,12,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,130,131,120,45,290,NA,N,1402,1402,N,N,N,dent in center of left vertebral scute; triangle marks
321,12,26-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,136,137,121,40,275,NA,N,1404,1404,N,N,N,missing right back foot and claw; triangle marks
322,12,27-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,131,131,112,43,280,2,N,310,310,N,N,N,top of plastron gone
323,12,27-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,121,121,110,43,250,1,N,304,304,N,N,N,
324,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,125,125,116,42,240,6,N,302,302,N,N,N,
325,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,130,130,115,42,250,0,N,405,405,N,N,N,2 claws on left front gone
326,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,134,135,117,42,275,0,N,406,406,Y,N,N,right front claw gone
327,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,120,120,109,38,220,0,N,422,422,Y,N,N,
328,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,123,123,110,41,210,0,N,450,450,Y,N,N,
329,12,27-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,135,138,124,44,325,1,N,301,301,Y,N,N,plastron blotch very faint; claws not extremely long
330,12,27-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,123,124,115,38,240,1,N,203,203,Y,N,N,
331,12,27-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,138,139,124,45,315,2,N,205,205,Y,N,N,divet in bottom of plastron; small mark in 100
332,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,127,129,122,41,270,1,R,133,133,N,N,N,plastron blotch faint
333,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,126,126,117,44,265,0,R,151,151,N,N,N,
334,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,126,127,115,39,230,1,R,5002,5002,Y,N,N,13 marginals each side; wrong trap number in pic
335,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,130,130,126,42,270,3,R,2204,2204,Y,N,N,wrong trap number in pic
336,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,99,99,92,32,130,0,N,206,206,Y,N,N,wrong trap number in pic
337,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,125,126,111,42,260,1,R,520,520,Y,N,N,wrong trap number in pic; 520 not previously marked off so examined codes and changed 5001 to 520
338,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,120,121,114,39,205,0,N,213,213,Y,N,N,wrong trap number in pic
339,12,27-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,145,146,129,45,370,1,N,215,215,Y,N,N,
340,12,27-06-2018,F,4,,44,CPIC,marginata,F,NA,NA,140,140,137,51,375,3,N,216,216,Y,N,N,
341,12,27-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,117,117,109,40,200,0,R,132,132,N,N,N,
342,12,27-06-2018,F,2,,42,CPIC,marginata,F,NA,NA,123,123,119,42,250,0,N,223,223,Y,N,N,wrong trap number in pic
343,12,27-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,124,124,115,39,240,2,N,225,225,Y,N,N,damage where left marginal scute meets nuchal scute; possile wrong trap number in pic
344,12,28-06-2018,F,7,,47,CSER,NA,F,82,51,241,250,177,108,3570,4,N,520,520,Y,Y,Y,
345,12,28-06-2018,F,6,,46,SODO,NA,M,NA,NA,123,123,82,43,245,12,N,21,21,Y,Y,Y,
346,12,28-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,139,139,126,45,290,0,N,330,330,Y,N,N,
347,12,28-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,115,115,106,38,180,0,N,341,341,Y,N,N,
348,13,28-06-2018,F,5,,45,CPIC,marginata,M,NA,NA,123,125,115,41,235,0,N,370,370,Y,N,N,
349,13,28-06-2018,F,5,,45,CPIC,picta,F,NA,NA,134,134,126,47,300,0,N,371,371,Y,N,N,damage to most caudal left marginal scute
350,13,28-06-2018,F,4,,44,CPIC,marginata,F,NA,NA,155,155,144,52,490,1,R,3700,3700,Y,Y,Y,lots of snails
351,13,28-06-2018,F,4,,44,CPIC,marginata,F,NA,NA,130,130,122,43,375,0,N,372,372,Y,Y,Y,
352,13,28-06-2018,F,4,,44,SODO,NA,F,NA,NA,115,116,89,47,250,5,N,32,32,Y,Y,Y,
353,13,28-06-2018,F,3,,43,CPIC,marginata,U,NA,NA,87,88,80,34,90,0,N,280,280,Y,N,N,small claws and cloaca not past carapace
354,13,28-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,136,137,125,45,305,1,R,182,182,N,Y,Y,
355,13,28-06-2018,F,3,,43,CPIC,marginata,M,NA,NA,139,141,125,47,320,1,R,205,205,N,Y,Y,divet in bottom of plastron; small mark in 100
356,13,28-06-2018,F,1,,41,CPIC,marginata,M,NA,NA,134,135,122,46,285,0,R,2202,2202,Y,N,N,both front claws gone
357,13,28-06-2018,F,1,,41,CPIC,marginata,F,NA,NA,132,132,127,45,280,0,N,192,192,Y,N,N,plastron blotch faint
358,13,28-06-2018,F,1,,41,CPIC,marginata,F,NA,NA,142,147,134,45,340,1,N,191,191,Y,N,N,plastron blotch very faint
359,13,28-06-2018,F,1,,41,CPIC,marginata,F,NA,NA,140,140,131,53,345,0,N,7194,7194,Y,N,N,marked same as other; needs new mark added (7000); see pictures
360,13,29-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,126,127,116,41,230,0,R,225,225,N,Y,Y,
361,13,29-06-2018,F,7,,47,CPIC,marginata,F,NA,NA,129,130,127,48,280,1,N,194,194,Y,Y,Y,picture taken; marked same as another
362,13,29-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,117,117,110,43,210,0,N,193,193,Y,Y,Y,
363,13,29-06-2018,F,7,,47,CPIC,marginata,M,NA,NA,107,107,101,36,130,1,N,900,900,Y,N,N,damage to marginal scutes 1 and 2
364,13,29-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,123,124,115,40,220,3,N,901,901,Y,N,N,right eye damage; damage to left back claw
365,13,29-06-2018,F,6,,46,CPIC,marginata,M,NA,NA,135,135,126,41,270,0,N,902,902,Y,N,N,
366,13,29-06-2018,F,6,,46,CPIC,marginata,F,NA,NA,134,135,127,47,290,1,N,903,903,Y,N,N,damage to right front claw
367,13,29-06-2018,F,6,,46,CPIC,picta,M,NA,NA,135,136,125,40,255,0,N,904,904,Y,N,N,13 marginal scutes on left side
368,13,29-06-2018,F,5,,45,CPIC,marginata,F,NA,NA,150,150,142,58,410,0,N,910,910,Y,N,N,
369,13,29-06-2018,F,4,,44,CPIC,marginata,M,NA,NA,115,115,109,37,180,0,R,2220,2220,Y,N,N,plastron blotch faint; squared marks
370,13,29-06-2018,F,4,,44,CPIC,marginata,U,NA,NA,96,96,88,33,110,2,N,920,920,Y,N,N,looks like 2 yr old male
371,13,29-06-2018,F,2,,42,CSER,NA,F,103,65,281,294,211,122,4820,9,R,350,350,Y,Y,Y,
372,13,29-06-2018,F,2,,42,PRUB,NA,M,NA,NA,268,272,240,91,2170,1,R,2,2,N,N,N,red blotchy pattern -- old male
373,13,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,133,133,112,42,260,0,R,310,310,Y,N,N,
374,13,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,130,133,121,40,240,0,R,126,126,N,N,N,nuchal damage
375,13,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,134,134,120,38,240,0,N,290,290,Y,N,N,plastron blotch faint
376,13,29-06-2018,F,2,,42,CPIC,marginata,F,NA,NA,150,150,144,51,440,1,N,272,272,Y,N,N,
377,14,29-06-2018,F,2,,42,CPIC,marginata,F,NA,NA,162,163,156,56,490,0,N,271,271,Y,N,N,white patches on rear feet
378,14,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,125,126,113,44,240,0,N,273,273,Y,N,N,
379,14,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,147,148,130,43,300,1,N,274,274,Y,N,N,plastron blotch faint; 13 marginals on each side
380,14,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,129,129,115,43,240,1,N,282,282,Y,N,N,right front middle claw gone
381,14,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,132,132,116,43,230,1,N,284,284,Y,N,N,plastron blotch very faint
382,14,29-06-2018,F,2,,42,CPIC,marginata,M,NA,NA,118,119,108,39,190,0,N,232,232,Y,N,N,scratches on plastron; right front claws gone
383,14,7/3/18,G,7,,54,CPIC,marginata,M,NA,NA,125,127,115,46,250,0,N,800,800,Y,N,N,claws not as long as most males
384,14,7/3/18,G,7,,54,CPIC,marginata,M,NA,NA,100,100,92,34,120,2,N,2001,2001,Y,N,N,13 marginal scutes on each side
385,14,7/3/18,G,7,,54,CPIC,marginata,M,NA,NA,122,122,110,42,195,0,N,700,700,Y,N,N,
386,14,7/3/18,G,7,,54,CPIC,marginata,M,NA,NA,122,122,113,40,220,0,N,701,701,Y,N,N,dark plastron
387,14,7/3/18,G,7,,54,CPIC,marginata,M,NA,NA,115,115,110,39,180,1,N,702,702,Y,N,N,plastron blotch faint
388,14,7/3/18,G,7,,54,PRUB,NA,F,NA,NA,179,181,170,69,715,2,N,30,30,Y,N,N,
389,14,7/3/18,G,7,,54,PRUB,NA,F,NA,NA,199,201,186,71,920,19,N,50,50,Y,N,N,
390,14,7/3/18,G,7,,54,PRUB,NA,M,NA,NA,244,248,214,85,1850,2,N,22,22,Y,N,N,old male mottling pattern
391,14,7/3/18,G,7,,54,SODO,NA,F,NA,NA,96,97,70,46,150,30,N,280,280,Y,N,N,
392,14,7/3/18,G,7,,54,SODO,NA,M,NA,NA,87,88,60,34,70,4,N,5,5,Y,N,N,
393,14,7/3/18,G,7,,54,SODO,NA,M,NA,NA,105,106,74,43,140,8,N,62,62,Y,N,N,
394,14,7/3/18,G,6,,53,PRUB,NA,F,NA,NA,314,317,302,120,3630,5,N,23,23,Y,N,N,
395,14,7/3/18,G,6,,53,PRUB,NA,F,NA,NA,199,200,182,67,985,1,N,90,90,Y,N,N,
396,14,7/3/18,G,6,,53,PRUB,NA,F,NA,NA,263,268,245,97,2120,1,N,60,60,Y,N,N,
397,14,7/3/18,G,6,,53,PRUB,NA,M,NA,NA,216,220,204,74,1080,6,N,41,41,Y,N,N,
398,14,7/3/18,G,6,,53,PRUB,NA,F,NA,NA,205,210,189,72,1000,1,N,42,42,Y,N,N,
399,14,7/3/18,G,6,,53,PRUB,NA,M,NA,NA,226,229,207,77,1310,0,N,110,110,Y,N,N,
400,14,7/3/18,G,6,,53,PRUB,NA,M,NA,NA,207,209,192,70,1010,NA,N,120,120,Y,N,N,picture says CPIC
401,14,7/3/18,G,6,,53,CPIC,NA,F,NA,NA,138,139,129,49,305,2,N,704,704,Y,N,N,
402,14,7/3/18,G,6,,53,CPIC,marginata,F,NA,NA,124,125,115,45,240,0,N,710,710,Y,N,N,
403,14,7/3/18,G,6,,53,CPIC,picta,F,NA,NA,135,136,128,49,300,1,N,703,703,Y,N,N,damage to back edge of carapace; 13 marginal scutes on right side
404,14,7/3/18,G,5,,52,CSER,NA,F,88,70,252,264,193,109,3040,8,N,370,370,Y,N,N,
405,14,7/3/18,G,5,,52,CPIC,picta,M,NA,NA,138,140,127,43,265,0,N,4003,4003,Y,N,N,13 marginal scutes on each side; damage to right bridge and nose
406,15,7/3/18,G,5,,52,CPIC,marginata,M,NA,NA,137,138,122,44,275,5,N,740,740,Y,N,N,
407,15,7/3/18,G,4,,51,CPIC,marginata,F,NA,NA,151,152,144,57,440,0,N,720,720,Y,N,N,tail damage
408,15,7/3/18,G,2,,49,CPIC,picta,M,NA,NA,121,122,111,39,285,0,N,2021,2021,Y,N,N,13 marginal scutes on left side
409,15,7/3/18,G,2,,49,CPIC,marginata,F,NA,NA,154,154,144,56,440,1,N,2022,2022,Y,N,N,growth on tail; damage to right rear edge of carapace
410,15,7/3/18,G,2,,49,CPIC,marginata,F,NA,NA,150,150,141,56,400,NA,N,2024,2024,Y,N,N,
411,15,7/3/18,G,2,,49,CPIC,marginata,M,NA,NA,116,116,105,39,170,NA,N,2402,2402,Y,N,N,
412,15,7/3/18,G,2,,49,SODO,NA,M,NA,NA,98,99,70,39,130,NA,N,11,11,Y,N,N,
413,15,7/3/18,G,1,,48,CSER,NA,F,90,66,244,256,179,101,3260,3,N,540,540,Y,N,N,
414,15,7/3/18,G,1,,48,CSER,NA,M,125,132,357,370,257,142,9260,16,N,640,640,Y,N,N,"small, squished 10 and 100 scutes"
415,15,7/3/18,G,1,,48,PRUB,NA,M,NA,NA,168,170,150,60,565,1,N,102,102,Y,N,N,13 marginal scutes on right side
